id,surname,country
693,Anjos,Portugal
694,Arnos,Portugal
695,Azevedo,Portugal
696,Azocar,Portugal
697,Baia,Portugal
698,Baiano,Portugal
699,Balsemao,Portugal
700,Barbosa,Portugal
701,Barreto,Portugal
702,Barrios,Portugal
703,Barros,Portugal
704,Bastos,Portugal
705,Bessa,Portugal
706,Boas,Portugal
707,Borreco,Portugal
708,Botelho,Portugal
709,Branco,Portugal
710,Cabral,Portugal
711,Cadete,Portugal
712,Caeiro,Portugal
713,Cafu,Portugal
714,Calado,Portugal
715,Caldeira,Portugal
716,Cardenas,Portugal
717,Carvalhal,Portugal
718,Castelbranco,Portugal
719,Castro,Portugal
720,Catarino,Portugal
721,Chagas,Portugal
722,Chiamulera,Portugal
723,Chissano,Portugal
724,Cid,Portugal
725,Cintra,Portugal
726,Claudio,Portugal
727,Coelho,Portugal
728,Coimbra,Portugal
729,Conceicão,Portugal
730,Corneja,Portugal
731,Correia,Portugal
732,Correja,Portugal
733,Costa,Portugal
734,Couto,Portugal
735,Cristostome,Portugal
736,Cruz,Portugal
737,Cunha,Portugal
738,Cuthiliero,Portugal
739,Assu,Portugal
740,Cunha-Lisboa,Portugal
741,Silva,Portugal
742,Dano,Portugal
743,Dasmarinas,Portugal
744,Albreuin,Portugal
745,Almeida,Portugal
746,Brito,Portugal
747,Faria,Portugal
748,Freitas,Portugal
749,Menses,Portugal
750,Mesquites,Portugal
751,Carneiro,Portugal
752,Dida,Portugal
753,Dimas,Portugal
754,Diniz,Portugal
755,Domingues,Portugal
756,Santos,Portugal
757,Dourado,Portugal
758,Dunga,Portugal
759,Queiroz,Portugal
760,Edhino,Portugal
761,Elizalde,Portugal
762,Eronilde,Portugal
763,Feijo,Portugal
764,Feitor,Portugal
765,Fernandes,Portugal
766,Figo,Portugal
767,Figueiredo,Portugal
768,Figuiera,Portugal
769,Filho,Portugal
770,Fofão,Portugal
771,Folha,Portugal
772,Frana,Portugal
773,Futre,Portugal
774,Granda,Portugal
775,Guajira,Portugal
776,Guera,Portugal
777,Guerra,Portugal
778,Guterres,Portugal
779,Haraculamo,Portugal
780,Hechevaria,Portugal
781,Henriques,Portugal
782,Izquierdo,Portugal
783,Jardim,Portugal
784,Joje,Portugal
785,Julião,Portugal
786,Junqueira,Portugal
787,Kenedy,Portugal
788,Labat,Portugal
789,Lapuente,Portugal
790,Leal,Portugal
791,Lobato,Portugal
792,Lopes,Portugal
793,Machado,Portugal
794,Madeira,Portugal
795,Magellan,Portugal
796,Maia,Portugal
797,Marques,Portugal
798,Masarenhas,Portugal
799,Medeiros,Portugal
800,Meireles,Portugal
801,Meirelles,Portugal
802,Mendes,Portugal
803,Mestres,Portugal
804,Milazar,Portugal
805,Monteiro,Portugal
806,Morais,Portugal
807,Morillo,Portugal
808,Mota,Portugal
809,Moura,Portugal
810,Mundo,Portugal
811,Musrri,Portugal
812,Negrão,Portugal
813,Neto,Portugal
814,Neves,Portugal
815,Nunes,Portugal
816,Nunho,Portugal
817,Oceano,Portugal
818,Oliveira,Portugal
819,Paes,Portugal
820,Paneira,Portugal
821,Parrela,Portugal
822,Patricio,Portugal
823,Pauleta,Portugal
824,Paulino,Portugal
825,Peixe,Portugal
826,Peixoto,Portugal
827,Pereira,Portugal
828,Pessao,Portugal
829,Pessoa,Portugal
830,Peteira,Portugal
831,Pinto,Portugal
832,Pitta,Portugal
833,Pombal,Portugal
834,Porfirio,Portugal
835,Prazeres,Portugal
836,Prestes,Portugal
837,Ramos,Portugal
838,Regalo,Portugal
839,Reis,Portugal
840,Resende,Portugal
841,Ribeiro,Portugal
842,Rios,Portugal
843,Rivaldo,Portugal
844,Rocha,Portugal
845,Rodrigues,Portugal
846,Rosa,Portugal
847,Rubalcaba,Portugal
848,Rui,Portugal
849,Sa,Portugal
850,Pinto,Portugal
851,Sacramento,Portugal
852,Salazar,Portugal
853,Salvador,Portugal
854,Sampaio,Portugal
855,Santos,Portugal
856,Santoso,Portugal
857,Secretario,Portugal
858,Serpa,Portugal
859,Serrão,Portugal
860,Simoes,Portugal
861,Simos,Portugal
862,Soares,Portugal
863,Sobrinho,Portugal
864,Sousa,Portugal
865,Soveral,Portugal
866,Taffarel,Portugal
867,Tanse,Portugal
868,Teixeira,Portugal
869,Torres,Portugal
870,Travada,Portugal
871,Travassos,Portugal
872,Trigoso,Portugal
873,Vaz,Portugal
874,Vento,Portugal
875,Vidigal,Portugal
876,Vieira,Portugal
877,Vilela,Portugal
878,Villa,Portugal
879,Vilna,Portugal
880,Vozone,Portugal
881,Zeimoto,Portugal
882,Zonta,Portugal
883,Smith,England
884,Brown,England
885,Taylor,England
886,Johnson,England
887,Walker,England
888,Wright,England
889,Robinson,England
890,Thompson,England
891,White,England
892,Green,England
893,Hall,England
894,Wood,England
895,Harris,England
896,Martin,England
897,Jackson,England
898,Clarke,England
899,Clark,England
900,Turner,England
901,Hill,England
902,Cooper,England
903,Ward,England
904,Moore,England
905,King,England
906,Watson,England
907,Baker,England
908,Harrison,England
909,Young,England
910,Allen,England
911,Mitchell,England
912,Anderson,England
913,Lee,England
914,Bell,England
915,Parker,England
916,Davis,England
917,Bennett,England
918,Miller,England
919,Cook,England
920,Shaw,England
921,Richardson,England
922,Carter,England
923,Collins,England
924,Marshall,England
925,Bailey,England
926,Gray,England
927,Cox,England
928,Adams,England
929,Wilkinson,England
930,Foster,England
931,Chapman,England
932,Mason,England
933,Russell,England
934,Webb,England
935,Rogers,England
936,Hunt,England
937,Mills,England
938,Holmes,England
939,Palmer,England
940,Matthews,England
941,Fisher,England
942,Barnes,England
943,Knight,England
944,Harvey,England
945,Barker,England
946,Butler,England
947,Jenkins,England
948,Stevens,England
949,Pearson,England
950,Dixon,England
951,Fletcher,England
952,Hunter,England
953,Howard,England
954,Andrews,England
955,Reynolds,England
956,Elliott,England
957,Fox,England
958,Ford,England
959,Saunders,England
960,Payne,England
961,West,England
962,Day,England
963,Pearce,England
964,Brooks,England
965,Bradley,England
966,Dawson,England
967,Walsh,England
968,Lawrence,England
969,Cole,England
970,Atkinson,England
971,Ball,England
972,Spencer,England
973,Armstrong,England
974,Burton,England
975,Booth,England
976,Rose,England
977,Webster,England
978,Williamson,England
979,Watts,England
980,Hart,England
981,Burns,England
982,Wells,England
22614,Schweisser,Germany
22613,Schwaiger,Germany
22612,Schutte,Germany
22611,Schummer,Germany
22610,Schulten,Germany
22609,Schuller,Germany
22608,Schulden,Germany
22607,Schuerbrock,Germany
22606,Schroter,Germany
22605,Schriter,Germany
22604,"SchØ nle",Germany
22603,Schopper,Germany
22602,Schonenberger,Germany
22601,Schollenberger,Germany
22600,Schoffel,Germany
22599,Schoencher,Germany
22598,Schnicker,Germany
22597,Schneider,Germany
22596,Schmitt,Germany
22595,Schmidinger,Germany
22594,Schmaltz,Germany
22593,Schlotterbeck,Germany
22592,Schlneicher,Germany
22591,Schlieffen,Germany
22590,Schleisher,Germany
22589,Schinkel,Germany
22588,Schindelar,Germany
22587,Schilling,Germany
22586,Schiemann,Germany
22585,Scherich,Germany
22584,Schenk,Germany
22583,Schellenberg,Germany
22582,Scheideler,Germany
22581,Schechter,Germany
22580,Schaub,Germany
22579,Schams,Germany
22578,Schaeffer,Germany
22577,Schact,Germany
22576,Scacht,Germany
22575,Sauer,Germany
22574,Sassmanshausen,Germany
22573,Sandel,Germany
22572,Saggau,Germany
22571,Sack,Germany
22570,Ruth,Germany
22569,Rupprath,Germany
22568,Rundstedt,Germany
22567,Ruff,Germany
22566,Rüdiger,Germany
22565,Rotzsch,Germany
22564,Rotholz,Germany
22563,Rösslar,Germany
22562,Rosner,Germany
22561,Roskopf,Germany
22560,Rosener,Germany
22559,Roschmann,Germany
22558,Rommel,Germany
22557,Rohwer,Germany
22556,Röhm,Germany
22555,Roerich,Germany
22554,Rochkes,Germany
22553,Ritter,Germany
22552,Riske,Germany
22551,Rilla,Germany
22550,Riehl,Germany
22549,Rieff,Germany
22548,Riedle,Germany
22547,Rickert,Germany
22546,Ribbe,Germany
22545,Retzner,Germany
22544,Renoth,Germany
22543,Reizenstein,Germany
22542,Reinke,Germany
22541,Reinelt,Germany
22540,Reicher,Germany
22539,Rehn,Germany
22538,Recker,Germany
22537,Reber,Germany
22536,Rau,Germany
22535,Rantzen,Germany
22534,Rainer,Germany
22533,Raab,Germany
22532,Quebbemann,Germany
22531,Prugger,Germany
22530,Prinosil,Germany
22529,Pretzsch,Germany
22528,Potthof,Germany
22527,Pohl,Germany
22526,Platzdasch,Germany
22525,Plage,Germany
22524,Pilsner,Germany
22523,Piech,Germany
22522,Pfister,Germany
22521,Pfeiffer,Germany
22520,Pfaff,Germany
22519,Pesch,Germany
22518,Pepke,Germany
22517,Pechsteinn,Germany
22516,Pallenberg,Germany
22515,Pajonk,Germany
22514,Osterloh,Germany
22513,Oshin,Germany
22512,Olinger,Germany
22511,Oertel,Germany
22510,Oberman,Germany
22509,Oberhammer,Germany
22508,Nussbaum,Germany
22507,Nitschke,Germany
22506,Niemeyer,Germany
22505,Niedernhuber,Germany
22504,Neustatter,Germany
22503,Neumann,Germany
22502,Nesselman,Germany
22501,Neezer?,Germany
22500,Nebe,Germany
22499,Naegeli,Germany
22498,Munz,Germany
22497,Muller,Germany
22496,Mühle,Germany
22495,Muehlegg,Germany
22494,Motevassel,Germany
22493,Morgenthau,Germany
22492,Mohr,Germany
22491,Moeller,Germany
22490,Misch,Germany
22489,Millberg,Germany
22488,Miedl,Germany
22487,Metzler,Germany
22486,Metting,Germany
22485,Messmer,Germany
22484,Merstorff,Germany
22483,Merklein,Germany
22482,Mengele,Germany
22481,Mellenthin,Germany
22480,Meyer,Germany
22479,Meissen,Germany
22478,Meise,Germany
22477,Meier,Germany
22476,Medtner,Germany
22475,Mauelshagen,Germany
22474,Mathes,Germany
22473,Massuthe,Germany
22472,Manzenberger,Germany
22471,Malz,Germany
22470,Majerhoffer,Germany
22469,Mair,Germany
22468,Mahlke,Germany
22467,Magel,Germany
22466,Maczey?,Germany
22465,Lüz,Germany
22464,Lung,Germany
22463,Ludentz,Germany
22462,Ludeker,Germany
22461,Löwe,Germany
22460,Lorenz,Germany
22459,Lohner,Germany
22458,Lohmann,Germany
22457,Loeffelmann,Germany
22456,Lobsien,Germany
22455,Litzmann,Germany
22454,Lippelt,Germany
22453,Lingens,Germany
22452,Linge,Germany
22451,Linder,Germany
22450,Lietzke,Germany
22449,Lieber,Germany
22448,Letzetter,Germany
22447,Lengnisch,Germany
