id,name,country
1153,Cofahealh,England
1154,Colan,England
1155,Colbert,England
1156,Colby,England
1157,Cole,England
1158,Coleman,England
1159,Colemann,England
1160,Coletun,England
1161,Coley,England
1162,Colfre,England
1163,Colier,England
1164,Colin,England
1165,Colis,England
1166,Collier,England
1167,Collin,England
1168,Collins,England
1169,Collis,England
1170,Collyer,England
1171,Colman,England
1172,Colson,England
1173,Colt,England
1174,Colten,England
1175,Colter,England
1176,Coltere,England
1177,Colton,England
1178,Coltrane,England
1179,Colver,England
1180,Colvert,England
1181,Colvyr,England
1182,Colyer,England
1183,Colyn,England
1184,Colys,England
1185,Cony,England
1186,Cooper,England
1187,Coopersmit,England
1188,Corben,England
1189,Corbett,England
1190,Corbin,England
1191,Corby,England
1192,Corbyn,England
1193,Cord,England
1194,Cordale,England
1195,Corday,England
1196,Cordell,England
1197,Corey,England
1198,Corky,England
1199,Corley,England
1200,Correy,England
1201,Corrick,England
1202,Cort,England
1203,Cortland,England
1204,Corvin,England
1205,Corwan,England
1206,Corwin,England
1207,Corwine,England
1208,Corwyn,England
1209,Cory,England
1210,Coulter,England
1211,Court,England
1212,Courtenay,England
1213,Courtland,England
1214,Courtney,England
1215,Covell,England
1216,Covyll,England
1217,Crandall,England
1218,Crandell,England
1219,Cranleah,England
1220,Cranley,England
1221,Cranly,England
1222,Cranston,England
1223,Cranstun,England
1224,Crawford,England
1225,Creed,England
1226,Creighton,England
1227,Creketun,England
1228,Crespin,England
1229,Crichton,England
1230,Crispin,England
1231,Croften,England
1232,Crofton,England
1233,Crombwiell,England
1234,Crompton,England
1235,Cromwell,England
1236,Crosleah,England
1237,Crosleigh,England
1238,Crosley,England
1239,Crosly,England
1240,Croydon,England
1241,Culbart,England
1242,Culbert,England
1243,Culver,England
1244,Cupere,England
1245,Curt,England
1246,Curtis,England
1247,Curtiss,England
1248,Cuthbeorht,England
1249,Cuthbert,England
1250,Cutler,England
1251,Cwentun,England
1252,Cy,England
1253,Cyneleah,England
1254,Cyneley,England
1255,Cyneric,England
1256,Cynerik,England
1257,Cynhard,England
1258,Cyning,England
1259,Cynric,England
1260,Cynrik,England
1261,Cyril,England
1262,Cyrill,England
1263,Dace,England
1264,Dacey,England
1265,Dacian,England
1266,Dack,England
1267,Dael,England
1268,Daelan,England
1269,Dagwood,England
1270,Dain,England
1271,Daine,England
1272,Dalbert,England
1273,Dale,England
1274,Dalen,England
1275,Daley,England
1276,Dalton,England
1277,Dalyn,England
1278,Dana,England
1279,Dane,England
1280,Danon,England
1281,Daran,England
1282,Darby,England
1283,Darek,England
1284,Darel,England
1285,Daren,England
1286,Darence,England
1287,Dariel,England
1288,Dariell,England
1289,Darin,England
1290,Darnall,England
1291,Darneil,England
1292,Darnel,England
1293,Darnell,England
1294,Darold,England
1295,Daron,England
1296,Darrance,England
1297,Darrel,England
1298,Darrell,England
1299,Darren,England
1300,Darrence,England
1301,Darrin,England
1302,Darrold,England
1303,Darroll,England
1304,Darron,England
1305,Darryl,England
1306,Darryll,England
1307,Darryn,England
1308,Darton,England
1309,Darvell,England
1310,Darvin,England
1311,Darwin,England
1312,Darwyn,England
1313,Daryl,England
1314,Daryle,England
1315,Daryll,England
1316,Daveon,England
1317,Davian,England
1318,Davidson,England
1319,Davidsone,England
1320,Daviel,England
1321,Davion,England
1322,Daviot,England
1323,Davis,England
1324,Davison,England
1325,Davy,England
1326,Dawson,England
1327,Daxton,England
1328,Daylan,England
1329,Dayle,England
1330,Daylen,England
1331,Daylin,England
1332,Daylon,England
1333,Dayne,England
1334,Dayner,England
1335,Dayson,England
1336,Dayton,England
1337,Deacon,England
1338,Deagmund,England
1339,Deakin,England
1340,Dealbeorht,England
1341,Dealbert,England
1342,Dean,England
1343,Deane,England
1344,Deanne,England
1345,Dearborn,England
1346,Dearbourne,England
1347,Deavon,England
1348,Dedrick,England
1349,Deems,England
1350,Deerward,England
1351,Deke,England
1352,Dekel,England
1353,Dekle,England
1354,Delbert,England
1355,Delman,England
1356,Delmon,England
1357,Delmont,England
